sybil_score,id,created_on,modified_on,subscription_id,tx_id,success,tx_cleared,normalized_data,split_tx_confirmed,split_tx_id,tx_override,match,originated_address,validator_comment,validator_passed,profile_for_clr_id
2,33663,2020-09-15T01:29:48.409-06:00,2020-09-15T22:15:58.966-06:00,32707,,true,true,"{""id"": 1112, ""url"": ""/grants/1112/goodghosting-a-defi-savings-game"", ""logo"": ""https://c.gitcoin.co/grants/0d1a9052543e4f00acd45b895ce74d6b/Gitcoin_Grants_Logo_v3.png"", ""title"": ""GoodGhosting - a DeFi savings game"", ""tx_id"": """", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""ETH"", ""admin_address"": ""0xee8f6ae101dD7048Dd8484EEaABbC1efD352eaAe"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 0.03, ""amount_per_period_usdt"": 10.637857778025, ""amount_per_period_to_gitcoin"": 0.0015, ""amount_per_period_minus_gas_price"": 0.028499999999999998}",true,0x74eaf356c2a610092642b19d7e2977e75bf71eaa264fe695e1f529a30d4eb0f4,false,true,0x2f4ce4f714c68a3fc871d1f543ffc24b9b3c2386,Transfer Amount is off by 0.0 / -0.0,true,93926
2,33664,2020-09-15T01:29:48.423-06:00,2020-09-28T15:53:57.084-06:00,32708,,true,true,"{""id"": 86, ""url"": ""/grants/86/gitcoin-grants-round-8-dev-fund"", ""logo"": ""https://c.gitcoin.co/grants/7d0daf025cdcb2af386ef4d04dc62295/1500x500-1.jpg"", ""title"": ""Gitcoin Grants Round 8 + Dev Fund"", ""tx_id"": """", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""ETH"", ""admin_address"": ""0x00De4B13153673BCAE2616b67bf822500d325Fc3"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 0.0015, ""amount_per_period_usdt"": 0.0, ""amount_per_period_to_gitcoin"": 0.0015, ""amount_per_period_minus_gas_price"": 0.0}",true,0x74eaf356c2a610092642b19d7e2977e75bf71eaa264fe695e1f529a30d4eb0f4,false,false,0x2f4ce4f714c68a3fc871d1f543ffc24b9b3c2386,Transfer Amount is off by 0.0 / 0.0,true,2853
-2,33669,2020-09-15T01:49:35.996-06:00,2020-09-15T22:15:58.887-06:00,32709,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 235, ""url"": ""/grants/235/zapperfi"", ""logo"": ""https://c.gitcoin.co/grants/974369395fa51852db3eb0f33e335512/Zapper.fi_logo_color.png"", ""title"": ""Zapper.fi"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0xbBBfC46566e5f0302cEF913af8C8F423070ce6A1"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33665,2020-09-15T01:49:36.004-06:00,2020-09-15T22:15:58.847-06:00,32710,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 149, ""url"": ""/grants/149/rotki-the-portfolio-tracker-and-accounting-tool-t"", ""logo"": ""https://c.gitcoin.co/grants/55489dd9b0bb55d2454115c8ad6f6b6f/rotkehlchen_logo.png"", ""title"": ""Rotki - The portfolio tracker and accounting tool that protects your privacy"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x9531C059098e3d194fF87FebB587aB07B30B1306"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33668,2020-09-15T01:49:36.015-06:00,2020-09-15T22:15:58.808-06:00,32711,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 200, ""url"": ""/grants/200/vyper-smart-contract-language"", ""logo"": ""https://c.gitcoin.co/grants/25993417a30f7815a61cdb37eccfdf36/vyper-logo-transparent.png"", ""title"": ""Vyper Smart Contract Language"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x70CCBE10F980d80b7eBaab7D2E3A73e87D67B775"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33666,2020-09-15T01:49:36.070-06:00,2020-09-15T22:15:58.765-06:00,32712,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 295, ""url"": ""/grants/295/gelato-an-automation-protocol-for-ethereum"", ""logo"": ""https://c.gitcoin.co/grants/b1c906f1c6ce64a514190739f4c65059/dark_logo-png.jpeg"", ""title"": ""Gelato - An automation protocol for Ethereum"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x8B3765eDA5207fB21690874B722ae276B96260E0"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33667,2020-09-15T01:49:36.246-06:00,2020-09-15T22:15:58.726-06:00,32714,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 363, ""url"": ""/grants/363/dune-analytics"", ""logo"": ""https://c.gitcoin.co/grants/282dfa54d7c5ae0702b9f55e8c2d4a62/256x256_Dune_logo_icon.png"", ""title"": ""Dune Analytics"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x7058decc644317062f90525f4C1489AaF456e6B3"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33670,2020-09-15T01:49:36.444-06:00,2020-09-15T22:15:58.687-06:00,32713,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 444, ""url"": ""/grants/444/white-hat-hacking"", ""logo"": ""https://c.gitcoin.co/grants/4455ebeee2ba450f83583dba0c8a4a5f/profile-full.png"", ""title"": ""White Hat Hacking"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0xc95C558dAA63b1A79331B2AB4a2a7af375384d3B"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 1000.0, ""amount_per_period_usdt"": 950.0, ""amount_per_period_to_gitcoin"": 50.0, ""amount_per_period_minus_gas_price"": 950.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,true,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 0.0 / -50.0,true,73877
-2,33671,2020-09-15T01:49:40.761-06:00,2020-09-28T15:53:57.142-06:00,32715,0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968,true,true,"{""id"": 86, ""url"": ""/grants/86/gitcoin-grants-round-8-dev-fund"", ""logo"": ""https://c.gitcoin.co/grants/7d0daf025cdcb2af386ef4d04dc62295/1500x500-1.jpg"", ""title"": ""Gitcoin Grants Round 8 + Dev Fund"", ""tx_id"": ""0x228a144ca40d5c803ff5b5b44c6d756e7aca4d10d270bae507e64c8adcdca968"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x00De4B13153673BCAE2616b67bf822500d325Fc3"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 300.0, ""amount_per_period_usdt"": 0.0, ""amount_per_period_to_gitcoin"": 300.0, ""amount_per_period_minus_gas_price"": 0.0}",true,0xd68058f2ee7104d4b6477d36ceead954096ec0a9b03895d76d556e5fc119ba91,false,false,0x11111254369792b2ca5d084ab5eea397ca8fa48b,Transfer Amount is off by 300.0 / 0.0,true,2853
-3,33672,2020-09-15T01:50:23.261-06:00,2020-09-28T15:53:57.198-06:00,32716,0x65afa489c8e2bbae434a3d135f23d6b47fc7851b46a6b30c8c9959ffac74807d,true,true,"{""id"": 86, ""url"": ""/grants/86/gitcoin-grants-round-8-dev-fund"", ""logo"": ""https://c.gitcoin.co/grants/7d0daf025cdcb2af386ef4d04dc62295/1500x500-1.jpg"", ""title"": ""Gitcoin Grants Round 8 + Dev Fund"", ""tx_id"": ""0x65afa489c8e2bbae434a3d135f23d6b47fc7851b46a6b30c8c9959ffac74807d"", ""frequency"": 30, ""created_on"": ""2020-09-15"", ""token_symbol"": ""DAI"", ""admin_address"": ""0x00De4B13153673BCAE2616b67bf822500d325Fc3"", ""frequency_unit"": ""rounds"", ""num_tx_approved"": 1, ""amount_per_period"": 100.0, ""amount_per_period_usdt"": 0.0, ""amount_per_period_to_gitcoin"": 100.0, ""amount_per_period_minus_gas_price"": 0.0}",true,0x4193fe7940b8d6c02c8c92bd95ae7d08b1c20e09079023ce68c4b467da193715,false,false,0xf67f2b39652019c9a00d54540480ebb0fae593f2,Transfer Amount is off by 100.0 / 0.0,true,2853
